titulo|autores|isbn|calificacion_promedio
Dune Messiah (Dune Chronicles #2)|Frank Herbert|0441172695|3.87
Dreamer of Dune: The Biography of Frank Herbert|Brian Herbert|0765306476|4.0
Heretics of Dune (Dune Chronicles  #5)|Frank Herbert|0399128980|3.85
The Road to Dune (Dune Universe)|Frank Herbert-Brian Herbert-Kevin J. Anderson|0765353709|3.87
Children of Dune (Dune Chronicles #3)|Frank Herbert|0441104029|3.92
Heretics of Dune (Dune Chronicles #5)|Frank Herbert|0441328008|3.85
The Power of One (The Power of One  #1)|Bryce Courtenay|034541005X|4.35
The Power of One (The Power of One  #1)|Bryce Courtenay|0385732546|4.35
The Power of One: One Person  One Rule  One Month|John C. Maxwell-Stephen R. Graves-Thomas G. Addington|0785260056|4.28
Power of an Hour: Business and Life Mastery in One Hour a Week|Dave Lakhani|0471780936|3.31
The Power of One: The Solo Play for Playwrights  Actors  and Directors|Louis E. Catron|0325001537|3.79
How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days|Adam Ginsberg|006076287X|3.49
eBay for Dummies|Marsha Collier|0470045299|3.5
What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond|Chris Malta-Lisa Suttora|0072262788|3.62
Starting an eBay Business for Dummies|Marsha Collier|0764569244|3.52
eBay: Top 100 Simplified Tips & Tricks|Julia Wilkinson|0471933821|4.27
ebay Timesaving Techniques for Dummies|Marsha Collier|0764559915|3.55
eBay Business All-in-One Desk Reference for Dummies|Marsha Collier|0764584383|3.89
Ruby Cookbook|Lucas Carlson-Leonard Richardson|0596523696|3.82
Ruby Ann's Down Home Trailer Park Cookbook|Ruby Ann Boxcar|0806523492|4.09
Ruby Ann's Down Home Trailer Park BBQin' Cookbook|Ruby Ann Boxcar|0806525363|4.08
Rails Cookbook: Recipes for Rapid Web Development with Ruby|Rob Orsini|0596527314|3.65
Anna Karenina|Leo Tolstoy-Richard Pevear-Larissa Volokhonsky|0143035002|4.04
Anna Karenina|Leo Tolstoy-David Magarshack-Priscilla Meyer|0451528611|4.04
Anna Karenina|Leo Tolstoy-Richard Pevear-Larissa Volokhonsky-John Bayley|0140449175|4.04
CliffsNotes on Tolstoy's Anna Karenina|Marianne Sturman-Leo Tolstoy|0822001837|3.89
Anna Karenina|Leo Tolstoy-Amy Mandelker-Constance Garnett|1593080271|4.04
Anna Karenina|Leo Tolstoy-Louise Maude-Aylmer Maude|0486437965|4.04
Anna Karenina|Leo Tolstoy-Constance Garnett-Amy Mandelker|1593081774|4.04
Dinner with Anna Karenina|Gloria Goldreich|0778322270|2.96
Tolstoy: Anna Karenina|Anthony Thorlby|0521313252|4.19
Untouchable|Mulk Raj Anand-E.M. Forster|0140183957|3.7
The Untouchable|John Banville|0679767479|3.96
The Untouchables|Eliot Ness-Oscar Fraley|1568491980|3.89
Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India|Narendra Jadhav|0743270797|3.82
Dalit: The Black Untaouchables of India|V.T. Rajshekar-Y.N. Kly|0932863051|4.33
Growing Up Untouchable in India: A Dalit Autobiography|Vasant Moon-Gail Omvedt-Eleanor Zelliot|0742508803|3.58
The Evidence-Based Social Work Skills Book|Barry R. Cournoyer|0205358624|3.4
"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom"|John Carratello-Patty Carratello-Theresa Wright|1557344035|3.94
Wrinkles in Time|George Smoot-Keay Davidson|0380720442|3.99
A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1)|Madeleine L'Engle|0821925326|4.01
Literature Circle Guide: A Wrinkle in Time|Tara MacCarthy|043927169X|3.57
Una arruga en el tiempo – A Wrinkle in Time|Madeleine L'Engle|0606105263|4.01
The Long Shadow (The Morland Dynasty  #6)|Cynthia Harrod-Eagles|0751506435|4.11
A Long Shadow (Inspector Ian Rutledge  #8)|Charles Todd|006078671X|4.11
Long Way Round: Chasing Shadows Across the World|Ewan McGregor-Charley Boorman-Robert Uhlig|0743499344|3.94
A Shadow in Summer (Long Price Quartet  #1)|Daniel Abraham|0765313405|3.6
New Hope for the Dead (Hoke Mosely #2)|Charles Willeford-James Lee Burke|1400032490|3.91
Sideswipe: A Hoke Moseley Novel|Charles Willeford-Lawrence Block|1400032482|4.04
Miami Blues (Hoke Mosely #1)|Charles Willeford-Elmore Leonard|1400032466|3.94
I am Charlotte Simmons|Tom Wolfe|0312424442|3.41
Poetry for Young People: Edward Lear|Edward Lear-Laura Huliska-Beith-Edward Mendelson|0806930772|3.9
The Puffin Book of Nonsense Verse|Quentin Blake|0140366601|4.04
Henry Miller on Writing|Henry Miller-Thomas H. Moore|0811201120|4.23
Quiet Days in Clichy|Henry Miller|080213016X|3.69
Tropic of Cancer|Henry Miller-Jiří Níl|0802131786|3.69
Tropic of Capricorn|Henry Miller|0802151825|3.82
Nexus (The Rosy Crucifixion  #3)|Henry Miller|0802151787|4.09
Sexus (The Rosy Crucifixion  #1)|Henry Miller|0802151809|4.04
The Air-Conditioned Nightmare|Henry Miller|0811201066|3.83
The Portrait of a Lady|Henry James-Patricia Crick|0141439637|3.77
The Portrait of a Lady|Henry James-Gabriel Brownstein-Mary Cregan|1593080964|3.77
The Lover|Marguerite Duras-Barbara Bray-Maxine Hong Kingston|0375700528|3.75
The War|Marguerite Duras-Barbara Bray-قلسم روبین|1565842219|3.85
The Ravishing of Lol Stein|Marguerite Duras-Richard Seever|0394743040|3.67
Destroy  She Said|Marguerite Duras-Barbara Bray-Helen Lane Cumberford|080215154X|3.68
L'Amant de la Chine du Nord|Marguerite Duras|2070388093|3.89
Love Letters|Kahlil Gibran-Suheil Bushrui-Salma H. Al-Kuzbari|1851681825|3.67
Kahlil Gibran: His Life and World|Jean Gibran-جبران خليل جبران-Kahlil Gibran|156656249X|4.2
The Beloved: Reflections on the Path of the Heart|Kahlil Gibran-John Walbridge-Robin Waterfield|014019553X|4.19
Jesus the Son of Man|Kahlil Gibran-جبران خليل جبران|0394431243|3.98
The Broken Wings|Kahlil Gibran-جبران خليل جبران-Anthony R. Ferris|0806501901|3.92
Sand and Foam|Kahlil Gibran-جبران خليل جبران|067943920X|4.08
Treasure Island|Robert Louis Stevenson|0753453800|3.83
Treasure Island|Robert Louis Stevenson-Scott McKowen|1402714572|3.83
Treasure Island|Robert Louis Stevenson|1416500294|3.83
Treasure Island|Robert Louis Stevenson-N.C. Wyeth-Timothy Meis|0689854684|3.83
Treasure Island|Robert Louis Stevenson-Milo Winter|0517221144|3.83
Treasure Island (Great Illustrated Classics)|Deidre S. Laiken-A.J. McAllister-Robert Louis Stevenson|1577658051|4.04
Daniel Deronda|George Eliot-Edmund White|037576013X|3.83
100 Years of Lynchings|Ralph Ginzburg|0933121180|4.63
One Hundred Years of Solitude|Gabriel García Márquez-Gregory Rabassa|0060531045|4.06
Cien años de soledad|Gabriel García Márquez|0785950109|4.06
Cien años de soledad|Gabriel García Márquez|8423919005|4.06
On Beyond Zebra!|Dr. Seuss|0394800842|4.04
The Wedding Clause|Debbie Raleigh|0821778250|3.58
The Zebra Wall|Kevin Henkes|0060733039|3.46
El perfume: Historia de un asesino|Patrick Süskind|8432216062|4.02
Jitterbug Perfume|Tom Robbins|0553348981|4.24
Perfume: The Story of a Murderer|Patrick Süskind-John E. Woods|0140120831|4.02
Off the Main Sequence: The Other Science Fiction Stories of Robert A. Heinlein|Robert A. Heinlein|1582881847|4.01
The Door Into Summer|Robert A. Heinlein|0345413997|4.01
